id,name,price,original_price,description,size,Painting sketch,Resin art,Lippan art,Mosaic art,Home deco,Festival special,Gift,Mirror,photo,more_photos,whatsapp_message
,Resin Keychain ,299,,"Handmade resin keychain ✨ Customizable, stylish & perfect for gifting or everyday use. 💖",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1X7hrg3IOllHyOfRBmEnaoWtUYyTBi3gv/view?usp=drivesdk,https://drive.google.com/drive/folders/1KpKcK3Jgq_ZOOn8DhP_MrgR8xdOmRIhl,buy resin Keychain 
,Resin Keychain ,299,,"Handmade resin keychain ✨ Customizable, stylish & perfect for gifting or everyday use. 💖",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1rM3BTUPlEb5nn47TF2yQhDVeg9rHIJiJ/view?usp=drivesdk,https://drive.google.com/drive/folders/1vxvRVeLSCaO8vxEEAzew4hwTrMOQ0ush,buy resin Keychain 
,Resin Keychain ,299,,"Handmade resin keychain ✨ Customizable, stylish & perfect for gifting or everyday use. 💖",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1Fii7Nku6w87IJJIqX5qJaGoyLckK-49K/view?usp=drivesdk,https://drive.google.com/drive/folders/1xkGACYalPDaBMobL6X5CaMdVWxDkq5TK,buy resin Keychain 
,Resin Keychain ,299,,"Handmade resin keychain ✨ Customizable, stylish & perfect for gifting or everyday use. 💖",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1Y56bxOkbVEpX0JAypwXjbaZn2MOzPFsK/view?usp=drivesdk,https://drive.google.com/drive/folders/1H8Q3KuDb64J7djxNTTN6i8jqFzWqI83S,buy resin Keychain 
,Resin Keychain ,299,,"Handmade resin keychain ✨ Customizable, stylish & perfect for gifting or everyday use. 💖",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1iE46JdeYNX0tzzh3uc3_xSSnxB0rmopR/view?usp=drivesdk,https://drive.google.com/drive/folders/1koHB-xykpgRdYM5l52Ffj2k64t3sdHV4,buy resin Keychain 
,Mirror ,2499,,"Handcrafted mirror with a stylish, elegant finish—perfect for adding a premium touch to your space. ✨",,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,https://drive.google.com/file/d/1ZlqQ3ZvkgeZi8lqDClKpYYSqjZiLNGwP/view?usp=drivesdk,https://drive.google.com/drive/folders/1dysGEpLtgPGKozRBanKkzqSpwEKxouoC,buy mirror 
,“Birds & Berries Wall Decor”.,999,,Colorful Bird & Cherry Wall Hanging 🐦🍒,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1duQLYyiJY0q26yzsB7RBvNHqlXgBb9CK/view?usp=drivesdk,https://drive.google.com/drive/folders/19VUuQC3BNeOxUJv62VOJrkSVRMzBmMwT,buy hurry up 
,Photo preserve,449,,your special memories beautifully preserved in a timeless resin keepsake. ✨,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1pX1kGs3RTW9A6MURp5w76uxeWc7keDTF/view?usp=drivesdk,https://drive.google.com/drive/folders/1t6wszsiXHtu1ty_JhpiZGqVhTEW8qLpo,buy for your love one.
,Resin bangle,399,,"Add a touch of elegance to your look with our beautiful handcrafted Resin Bangle. Each bangle is carefully made with high-quality resin, beautiful colours and artistic detailing",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1aUQI-9CKuvt8SkVBteNFKIPm5bowpxnW/view?usp=drivesdk,https://drive.google.com/drive/folders/1kOx_ct64s1xjKjTN5TZuNxL3aml4CTGh,buy resin bangle 
,Book mark 💜 ,399,,beautiful and unique way to mark your favourite pages with elegance. ✨📖,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1NyyPVxL7hFEcTcJuXHmb47Y1bXRFtgnq/view?usp=drivesdk,https://drive.google.com/drive/folders/1nArgVDfVAJBFjd_DBWAOOxR07y7QegP-,buy bookmark 
